date,RP1,RP2,RP3,RP6,RP12
9/25/1996,0.022973892,0.024465838,0.025423369,0.024528639,0.01912374
9/26/1996,0.022841406,0.0241927,0.025628835,0.025455015,0.018866784
9/27/1996,0.02240878,0.024321935,0.025387087,0.024875637,0.019304144
9/30/1996,0.025003893,0.025684453,0.026116462,0.02561763,0.019747263
10/1/1996,0.02483843,0.025519044,0.026161969,0.025641778,0.020045941
10/2/1996,0.023943811,0.024858936,0.025417001,0.024615802,0.020206799
10/3/1996,0.024460936,0.025219178,0.025578835,0.024898072,0.020250714
10/4/1996,0.018790896,0.021406129,0.022273315,0.021618663,0.018260734
10/7/1996,0.020115749,0.02200866,0.022352995,0.02173475,0.018298619
10/8/1996,0.021131906,0.022935815,0.023184061,0.022589554,0.018473925
10/9/1996,0.022559904,0.024122639,0.024329249,0.024116735,0.020436148
10/10/1996,0.023556999,0.024581403,0.024763935,0.024786826,0.020489525
10/11/1996,0.019658093,0.022284003,0.022542818,0.022273199,0.018628233
10/14/1996,0.019886215,0.022584604,0.022389641,0.021911181,0.019017675
10/15/1996,0.0219333,0.023359178,0.023008754,0.022489937,0.019132297
10/16/1996,0.021766541,0.023163525,0.022759063,0.022341723,0.019053352
10/17/1996,0.02070538,0.023052041,0.022680163,0.022270169,0.019140452
10/18/1996,0.020038991,0.022155055,0.02186977,0.021738153,0.01912087
10/21/1996,0.023133448,0.024550387,0.01733223,0.022652194,0.01975845
10/22/1996,0.023831779,0.025036695,0.020526998,0.023460296,0.0215325
10/23/1996,0.023348351,0.024555417,0.020411384,0.023561551,0.021587913
10/24/1996,0.02594485,0.025937471,0.021308766,0.025136642,0.021831077
10/25/1996,0.025435654,0.025804168,0.021992922,0.025345785,0.022107071
10/28/1996,0.029695504,0.027791809,0.024455107,0.027664465,0.024489202
10/29/1996,0.028575814,0.027004056,0.024002011,0.026242525,0.022867645
10/30/1996,0.029622041,0.029391351,0.028397437,0.026518339,0.022882447
10/31/1996,0.028664349,0.028388761,0.027779404,0.02633238,0.023564965
11/1/1996,0.028015734,0.028536087,0.028276245,0.026673635,0.023518405
11/4/1996,0.026813484,0.026368791,0.026606237,0.025920193,0.02346653
11/5/1996,0.027041867,0.025013807,0.02502003,0.025734408,0.024023388
11/6/1996,0.023425155,0.020762947,0.021356402,0.025009284,0.023308148
11/7/1996,0.024952058,0.02221297,0.02197754,0.023851522,0.021386513
11/8/1996,0.021284918,0.022431537,0.022337694,0.022829871,0.021826838
11/11/1996,0.020152806,0.023049162,0.022933974,0.023305142,0.021627866
11/12/1996,0.019728041,0.023713116,0.023773395,0.023787464,0.021883444
11/13/1996,0.018323752,0.021661752,0.022693018,0.02345429,0.021839624
11/14/1996,0.016052081,0.019539456,0.021243128,0.022513703,0.022182263
11/15/1996,0.018133252,0.020808429,0.022273461,0.023092038,0.022257145
11/18/1996,0.020520098,0.02192536,0.018108409,0.023735269,0.022435386
11/19/1996,0.020114817,0.020618723,0.017000002,0.022591273,0.023200036
11/20/1996,0.022537334,0.02263822,0.018788014,0.023963326,0.023308785
11/21/1996,0.021295841,0.023042385,0.022919989,0.024535948,0.023738903
11/22/1996,0.01986727,0.023846731,0.021473765,0.026232093,0.025033133
11/25/1996,0.023737544,0.025122408,0.022728656,0.025528424,0.023058555
11/26/1996,0.025973105,0.02917384,0.029912651,0.02852537,0.025047566
11/27/1996,0.025988815,0.029108483,0.030029344,0.028681681,0.025297539
11/29/1996,0.026730796,0.029682903,0.030739641,0.028675884,0.025734834
12/2/1996,0.028761296,0.031479427,0.032295449,0.029627479,0.026295279
12/3/1996,0.031966146,0.034598966,0.034500812,0.032249799,0.030004911
12/4/1996,0.028850455,0.031980321,0.032486291,0.03194426,0.029183631
12/5/1996,0.030553471,0.033588061,0.033887444,0.032073691,0.029188211
12/6/1996,0.032380651,0.03528527,0.035601427,0.0334211,0.029173071
12/9/1996,0.028992841,0.032307965,0.032804727,0.032087238,0.029040292
12/10/1996,0.029027036,0.03213852,0.032089403,0.031279424,0.029516425
12/11/1996,0.034644519,0.037643903,0.035318331,0.03197349,0.0292272
12/12/1996,0.037836974,0.040599197,0.037689422,0.034232811,0.029777128
12/13/1996,0.039516906,0.041648741,0.038716624,0.036051358,0.030021137
12/16/1996,0.042035308,0.04508288,0.04134675,0.038204021,0.034030828
12/17/1996,0.037263407,0.042064364,0.039368446,0.036558032,0.031342161
12/18/1996,0.032609944,0.034804077,0.034720647,0.034020848,0.029770314
12/19/1996,0.031153187,0.033196764,0.033692398,0.031860072,0.028920548
12/20/1996,0.03159134,0.032292068,0.032892876,0.032676684,0.030400067
12/23/1996,0.032784131,0.032697238,0.033528739,0.032944286,0.030117297
12/24/1996,0.030199442,0.030977034,0.032401526,0.030577146,0.027876334
12/26/1996,0.030020588,0.030354839,0.031033993,0.030249929,0.027626442
12/27/1996,0.032199542,0.032074809,0.032257146,0.03034168,0.027190732
12/30/1996,0.033400172,0.032647932,0.032713482,0.030734816,0.027417385
12/31/1996,0.038918573,0.037694151,0.036046059,0.033771119,0.030279375
1/2/1997,0.037026625,0.037033649,0.036757706,0.034385563,0.030296589
1/3/1997,0.032154477,0.033206596,0.033553643,0.032787349,0.029573687
1/6/1997,0.033823299,0.034050626,0.033761031,0.032233289,0.029000906
1/7/1997,0.031783081,0.032289923,0.031859563,0.029910789,0.027003346
1/8/1997,0.033820775,0.033279794,0.033151273,0.032084374,0.029076527
1/9/1997,0.0359137,0.035070654,0.033710405,0.03053834,0.026670819
1/10/1997,0.034484154,0.034016425,0.033027899,0.030752949,0.026610027
1/13/1997,0.035149366,0.035163961,0.033761618,0.030754011,0.027372545
1/14/1997,0.032907663,0.0337609,0.032686717,0.03027471,0.026758344
1/15/1997,0.034430497,0.034060917,0.033039628,0.031222238,0.027914547
1/16/1997,0.034481773,0.03483281,0.033648895,0.031574753,0.028556063
1/17/1997,0.030570268,0.032595694,0.031538878,0.029269792,0.025807466
1/20/1997,0.030411515,0.031331234,0.02380061,0.028866846,0.025612287
1/21/1997,0.027881149,0.030154746,0.022696433,0.027826227,0.025051153
1/22/1997,0.025658068,0.028223501,0.02349922,0.027265125,0.024824261
1/23/1997,0.030399081,0.030294196,0.025069544,0.027905157,0.02625021
1/24/1997,0.032461146,0.032627079,0.028833903,0.030250059,0.028787129
1/27/1997,0.036541599,0.033771792,0.029767624,0.030946752,0.029154199
1/28/1997,0.036564105,0.034110013,0.031425027,0.031888636,0.029491096
1/29/1997,0.035985958,0.03408505,0.030860953,0.030907179,0.028901195
1/30/1997,0.03394714,0.032044369,0.029458495,0.028779955,0.026810457
1/31/1997,0.032088486,0.031544494,0.030104981,0.030752381,0.026923155
2/3/1997,0.03391415,0.032155319,0.031519326,0.031269766,0.026994964
2/4/1997,0.033585574,0.031639963,0.031439019,0.031359315,0.026997814
2/5/1997,0.037346164,0.033954696,0.033328589,0.033287857,0.028264863
2/6/1997,0.035573042,0.033487689,0.033327277,0.032606479,0.027659208
2/7/1997,0.032777655,0.032034787,0.03272262,0.032247352,0.027208395
2/10/1997,0.036610762,0.033014532,0.03381402,0.032685376,0.027492624
2/11/1997,0.03564622,0.033008538,0.033910134,0.032921448,0.027614398
2/12/1997,0.033244267,0.030477353,0.031707737,0.031563432,0.028121417
2/13/1997,0.032193302,0.0291606,0.030440439,0.030157284,0.027126287
2/14/1997,0.032493396,0.029487157,0.031588902,0.0315301,0.027588951
2/18/1997,0.034681752,0.029211928,0.03173394,0.030835675,0.02809244
2/19/1997,0.038526498,0.031948188,0.033973372,0.032331466,0.029003271
2/20/1997,0.040932898,0.037254864,0.037670085,0.035541053,0.030714455
2/21/1997,0.036957727,0.035612236,0.036501907,0.03553539,0.030446761
2/24/1997,0.034566306,0.031125642,0.02752421,0.033721196,0.029789826
